,FisrtPara,FirstSente,ParaLoc,SenteLoc,SenteLen,ThematicWords,ProperNouns,StatRatio,Included
34370,1,1,0.7853981633974483,3.141592653589793,23,2.816901408450704,0.0,0.0,1
34371,0,1,0.4243524387082433,0.6283185307179586,21,1.0,5.9405940594059405,2.9702970297029703,1
34372,0,0,0.4243524387082433,0.3394819509665946,8,1.9607843137254901,0.0,0.0,0
34373,0,0,0.4243524387082433,0.26147276890222704,22,0.7692307692307693,0.0,0.0,0
34374,0,0,0.4243524387082433,0.6220306308857955,23,0.7633587786259542,1.5151515151515151,0.0,1
34375,0,0,0.4243524387082433,0.41069639947419107,55,1.1070110701107012,2.9197080291970803,1.094890510948905,1
34376,0,1,0.32684096112778377,0.39269908169872414,37,1.3888888888888888,0.91324200913242,0.0,0
34377,0,0,0.32684096112778377,0.21217621935412165,16,0.9259259259259259,0.0,2.7522935779816518,0
34378,0,0,0.32684096112778377,0.16342048056389188,40,0.0,3.7037037037037033,0.0,0
34379,0,0,0.32684096112778377,0.3887691443036222,9,0.0,10.0,0.0,1
34380,0,0,0.32684096112778377,0.2566852496713694,29,0.5747126436781609,0.0,0.0,0
34381,0,0,0.32684096112778377,0.11139387974406212,28,0.5405405405405406,4.301075268817205,3.2258064516129035,0
34382,0,0,0.32684096112778377,0.37705798984199945,36,0.9389671361502347,1.8604651162790697,1.3953488372093024,1
34383,0,0,0.32684096112778377,0.29605672297121366,15,0.0,0.0,0.0,0
34384,0,0,0.32684096112778377,0.05713772966377585,18,0.9900990099009901,5.88235294117647,0.0,1
34385,0,1,0.7775382886072444,0.4487989505128276,23,0.0,4.411764705882353,4.411764705882353,0
34386,0,0,0.7775382886072444,0.2424871078332819,51,1.7123287671232876,0.6734006734006733,0.0,1
34387,0,0,0.7775382886072444,0.18676626350159073,21,1.680672268907563,1.6528925619834711,0.0,1
34388,0,0,0.7775382886072444,0.44430759348985394,23,0.7194244604316546,0.0,0.0,0
34389,0,0,0.7775382886072444,0.2933545710529936,28,0.6289308176100629,2.5,0.0,0
34390,0,0,0.7775382886072444,0.127307291136071,32,1.7964071856287425,1.1764705882352942,0.0,0
34391,0,0,0.7775382886072444,0.4309234169622851,24,0.6578947368421053,0.0,0.0,0
34392,1,1,1.0471975511965976,3.141592653589793,18,5.154639175257732,3.9215686274509802,5.88235294117647,1
34393,0,1,0.5658032516109911,0.7853981633974483,23,0.704225352112676,0.0,0.0,0
34394,0,0,0.5658032516109911,0.4243524387082433,16,3.3333333333333335,2.1505376344086025,0.0,0
34395,0,0,0.5658032516109911,0.32684096112778377,17,4.0,1.9230769230769231,8.653846153846155,1
34396,0,0,0.5658032516109911,0.7775382886072444,29,1.2048192771084338,3.571428571428571,0.0,0
34397,0,1,0.43578794817037836,0.5235987755982988,16,0.9900990099009901,0.0,0.0,0
34398,0,0,0.43578794817037836,0.28290162580549555,21,4.464285714285714,6.837606837606838,2.5641025641025643,0
34399,0,0,0.43578794817037836,0.21789397408518918,10,3.7037037037037037,10.714285714285714,5.357142857142857,0
34400,0,0,0.43578794817037836,0.5183588590714963,15,1.0101010101010102,2.0,0.0,0
34401,0,0,0.43578794817037836,0.34224699956182586,22,4.615384615384615,7.352941176470589,2.2058823529411766,1
34402,0,0,0.43578794817037836,0.14852517299208282,19,0.9523809523809523,15.09433962264151,2.830188679245283,0
34403,0,0,0.43578794817037836,0.5027439864559993,18,2.1739130434782608,2.127659574468085,3.1914893617021276,1
34404,1,1,0.7853981633974483,3.141592653589793,18,5.1020408163265305,1.9417475728155338,0.0,1
34405,0,1,0.4243524387082433,0.6283185307179586,19,0.9259259259259259,1.834862385321101,0.0,0
34406,0,0,0.4243524387082433,0.3394819509665946,24,2.158273381294964,1.4084507042253522,4.225352112676056,1
34407,0,0,0.4243524387082433,0.26147276890222704,19,3.061224489795918,3.9603960396039604,5.9405940594059405,0
34408,0,0,0.4243524387082433,0.6220306308857955,15,2.7777777777777777,1.8018018018018018,0.0,1
34409,0,0,0.4243524387082433,0.41069639947419107,13,2.73972602739726,0.0,0.0,0
34410,0,1,0.32684096112778377,0.4487989505128276,19,2.6785714285714284,0.0,0.0,1
34411,0,0,0.32684096112778377,0.2424871078332819,25,3.278688524590164,4.761904761904762,0.0,1
34412,0,0,0.32684096112778377,0.18676626350159073,13,3.75,2.4096385542168677,0.0,0
34413,0,0,0.32684096112778377,0.44430759348985394,24,1.5625,3.076923076923077,0.0,0
34414,0,0,0.32684096112778377,0.2933545710529936,10,1.8867924528301887,3.7037037037037033,0.0,0
